Coordinates
"[40.8584328, -74.1637553]"
"[-42.9899255, 147.5234993]"
"[-27.4784717, 153.02346643656935]"
"[-34.2421548, 150.9774706]"
"[18.1396787, -94.4501731]"
"[-33.8464922, 151.1731382]"
"[-6.76908175, 39.28222045892226]"
"[28.3194741, -80.6102592]"
"[28.3194741, -80.6102592]"
"[28.3194741, -80.6102592]"
"[41.5232973, -71.3175009]"
"[-31.985195, 29.14697]"
"[-37.827573, 145.05815056814913]"
"[-34.6211018, 135.4632303]"
"[-30.294834, 153.1170425]"
"[10.7568254, 106.6296614]"
"[23.16256155, -82.3004161612127]"
"[-34.28860804999999, 150.94862090755518]"
"[32.158801, -80.72248319561183]"
"[-33.7382194, 151.2996618]"
"[-33.3540839, 115.9029735]"
"[6.9387469, 79.8541134]"
"[50.6890465, -1.5379669]"
"[24.2707658, -76.52078513640123]"
"[-7.88350005, -34.82535995462702]"
"[18.4577417, -66.07326966862699]"
"[47.9540577, -90.6912244]"
"[40.57592745, -73.99219592886062]"
"[41.0096334, 28.9651646]"
"[-33.9217004, 151.2557975]"
"[-33.9217004, 151.2557975]"
"[-59.4416415, -27.184027717077985]"
"[-17.0542997, 168.27513808830548]"
"[-32.9316667, 151.7677778]"
"[38.9867765, -77.3833196]"
"[-26.5291822, 153.0909417]"
"[45.461905099999996, -122.87870057596813]"
"[-33.0758112, 151.4539993]"
"[-22.971974, -43.1842997]"
"[-22.971974, -43.1842997]"
"[-30.7546652, -70.9005536]"
"[-23.1436752, 113.770165]"
"[27.9296631, 34.3698811]"
"[27.9296631, 34.3698811]"
"[9.49051135, 100.06155817451759]"
"[26.96058285, -80.07812451891394]"
"[36.3847464, -75.8286983]"
"[33.5995916, -117.8737398]"
"[32.6255362, -117.1377057]"
"[27.7951482, -97.3942053]"
"[40.4187498, -3.6972419]"
"[39.596685300000004, 16.333055599019605]"
"[-20.7344893, 116.8367878]"
"[52.3971545, -0.5396719]"
"[-31.9957, 115.751]"
"[-31.9921125, 115.7632414]"
"[-29.829354, 31.0368231]"
"[-33.86084, 114.98008]"
"[-33.6841515, 136.9236987]"
"[50.7633176, -1.2985186]"
"[29.738289, -81.24230475946248]"
"[27.2556046, -82.5403756]"
"[29.738289, -81.24230475946248]"
"[29.738289, -81.24230475946248]"
"[-31.19, 152.9761111]"
"[40.4692924, -5.8898816]"
"[36.8213271, -75.971851]"
"[-34.0575259, 151.1523851]"
"[-34.0575259, 151.1523851]"
"[51.4684326, -9.7256677]"
"[-31.84016, 152.7511891]"
"[29.4572611, -94.6389136]"
"[-28.2938914, 153.5680193]"
"[30.831854749999998, -81.45093517517115]"
"[-33.7698341, 151.2898175]"
"[-28.1369655, 153.4799277]"
"[-28.125399350000002, 153.48649452946262]"
"[24.9344451, 35.868120138461535]"
"[24.9344451, 35.868120138461535]"
"[33.4669721, -117.6981075]"
"[46.0943123, -117.6704681]"
"[48.66382, -123.0671742]"
"[26.0543154, -80.1457426]"
"[-9.585110199999999, 143.76975212982734]"
"[-12.46044, 130.8410469]"
"[-12.4301775, 130.79131989045456]"
"[37.0243413, -122.21493]"
"[37.0116166, -122.1919134]"
"[29.2108147, -81.0228331]"
"[29.1760933, -80.9828323]"
"[29.1760933, -80.9828323]"
